CountyCode,CountyName,DistrictCode,DistrictName,StudentGroup,ELAProf_MetTarget,MathProf_MetTarget,Grad4YR_MetTarget,Grad5YR_MetTarget,ELAGrowth_MetStandard,MathGrowth_MetStandard,ELP_MetTarget,CA_MetAverage,ChronicAbs,RequiresTargetedSupImp,Year
01,ATLANTIC,0010,ABSECON CITY,Districtwide,Met Target,Met Target,NA,NA,Met Standard,Met Standard,Met Target†,Met,NA,NA,2017-18
01,ATLANTIC,0010,ABSECON CITY,White,Met Target,Met Target,NA,NA,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,0010,ABSECON CITY,Hispanic,Met Target†,Not Met,NA,NA,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,0010,ABSECON CITY,Black or African American,Met Target,Met Target†,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0010,ABSECON CITY,"Asian, Native Hawaiian, or Pacific Islander",NA,NA,NA,NA,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,0010,ABSECON CITY,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0010,ABSECON CITY,Two or More Races,Met Target†,Met Target†,NA,NA,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,0010,ABSECON CITY,Economically Disadvantaged Students,Met Target†,Met Target†,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0010,ABSECON CITY,Students with Disabilities,Met Target†,Met Target†,NA,NA,Met Standard,Not Met,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0010,ABSECON CITY,English Learners,Met Target†,Met Target†,NA,NA,Exceeds Standard,Met Standard,Met Target†,Not Met,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,Districtwide,Not Met,Not Met,Met Target,Met Target,Met Standard,Met Standard,Met Target†,Not Met,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,White,Met Target†,Not Met,Met Target,Met Target,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,Hispanic,Not Met,Not Met,Met Target,Met Target,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,Black or African American,Not Met,Not Met,Not Met,Met Target,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,"Asian, Native Hawaiian, or Pacific Islander",Met Target†,Met Target†,Met Goal,Met Goal,Met Standard,Exceeds Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,Two or More Races,NA,NA,NA,NA,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,Economically Disadvantaged Students,Not Met,Not Met,Met Target,Met Target,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,Students with Disabilities,Not Met,Not Met,Met Target,Met Target,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,English Learners,Met Target,Met Target†,Met Target,Met Target,Met Standard,Met Standard,Met Target†,Not Met,NA,NA,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,Districtwide,Met Target,Met Target,Met Goal,Met Goal,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,White,Met Target,Met Target,Met Goal,Met Goal,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,Hispanic,Met Target,Met Target†,Met Goal,Met Goal,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,Black or African American,Met Target,Met Target,Met Goal,Met Goal,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,"Asian, Native Hawaiian, or Pacific Islander",Met Target†,Not Met,NA,NA,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,Two or More Races,NA,NA,Met Goal,NA,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,Economically Disadvantaged Students,Met Target,Met Target†,Met Goal,Met Goal,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,Students with Disabilities,Met Target†,Met Target†,Met Goal,NA,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,English Learners,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,Districtwide,Met Target,Met Target,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,White,Met Target†,Met Target,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,Hispanic,Not Met,Met Target,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,Black or African American,Met Target,Not Met,NA,NA,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,"Asian, Native Hawaiian, or Pacific Islander",Met Target,Met Target,NA,NA,Exceeds Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,Two or More Races,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,Economically Disadvantaged Students,Met Target,Met Target,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,Students with Disabilities,Met Target†,Met Target,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,English Learners,NA,NA,NA,NA,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,Districtwide,Not Met,Not Met,Not Met,Not Met,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,White,Met Target,Not Met,Not Met,Met Target,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,Hispanic,Not Met,Not Met,Not Met,Not Met,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,Black or African American,Not Met,Not Met,Not Met,Met Target,Not Met,Not Met,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,"Asian, Native Hawaiian, or Pacific Islander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,Two or More Races,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,Economically Disadvantaged Students,Not Met,Not Met,Not Met,Met Target,Not Met,Not Met,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,Students with Disabilities,Not Met,Not Met,Met Target,Not Met,Not Met,Not Met,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,English Learners,NA,NA,NA,NA,Not Met,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,Districtwide,Not Met,Not Met,NA,NA,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,White,Not Met,Not Met,NA,NA,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,Hispanic,Not Met,Not Met,NA,NA,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,Black or African American,Not Met,Not Met,NA,NA,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,"Asian, Native Hawaiian, or Pacific Islander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,Two or More Races,NA,NA,NA,NA,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,Economically Disadvantaged Students,Not Met,Not Met,NA,NA,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,Students with Disabilities,Not Met,Not Met,NA,NA,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,English Learners,NA,NA,NA,NA,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,Districtwide,Met Target,Met Target†,Met Target,Not Met,Met Standard,Met Standard,Met Target†,Met,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,White,Met Target,Met Target,Met Goal,Not Met,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,Hispanic,Met Target,Met Target†,Met Target,Met Target,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,Black or African American,Met Target,Not Met,Not Met,Not Met,Met Standard,Not Met,NA,Not Met,NA,NA,2017-18
