CountyCode,CountyName,DistrictCode,DistrictName,PercentDaysPresent,Year
01,ATLANTIC,0010,ABSECON CITY,96.8,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,98.7,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,97.7,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,95.8,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,94.8,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,97.4,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,95.6,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,96.2,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,96.5,2017-18
01,ATLANTIC,1540,FOLSOM BORO,96.7,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,94.8,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,96.4,2017-18
01,ATLANTIC,1940,HAMILTON TWP,96.6,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,96.5,2017-18
01,ATLANTIC,2680,LINWOOD CITY,97.9,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,96.6,2017-18
01,ATLANTIC,3020,MARGATE CITY,95.5,2017-18
01,ATLANTIC,3480,MULLICA TWP,95.8,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,94.4,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,90.5,2017-18
01,ATLANTIC,4240,PORT REPUBLIC CITY,98.3,2017-18
01,ATLANTIC,4800,SOMERS POINT CITY,94.0,2017-18
01,ATLANTIC,5350,VENTNOR CITY,95.8,2017-18
01,ATLANTIC,5760,WEYMOUTH TWP,96.6,2017-18
03,BERGEN,0040,ALLENDALE BORO,98.5,2017-18
03,BERGEN,0080,ALPINE BORO,96.3,2017-18
03,BERGEN,0285,BERGEN CO SPECIAL SERVICE,90.7,2017-18
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,91.8,2017-18
03,BERGEN,0300,BERGENFIELD BORO,96.5,2017-18
03,BERGEN,0440,BOGOTA BORO,96.7,2017-18
03,BERGEN,0740,CARLSTADT BORO,95.4,2017-18
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,95.8,2017-18
03,BERGEN,0890,CLIFFSIDE PARK BORO,96.4,2017-18
03,BERGEN,0930,CLOSTER BORO,96.7,2017-18
03,BERGEN,0990,CRESSKILL BORO,98.1,2017-18
03,BERGEN,1070,DEMAREST BORO,96.6,2017-18
03,BERGEN,1130,DUMONT BORO,94.6,2017-18
03,BERGEN,1230,EAST RUTHERFORD BORO,95.9,2017-18
03,BERGEN,1270,EDGEWATER BORO,96.9,2017-18
03,BERGEN,1345,ELMWOOD PARK,97.4,2017-18
03,BERGEN,1360,EMERSON BORO,97.6,2017-18
03,BERGEN,1370,ENGLEWOOD CITY,90.0,2017-18
03,BERGEN,1380,ENGLEWOOD CLIFFS BORO,96.7,2017-18
03,BERGEN,1450,FAIR LAWN BORO,95.6,2017-18
03,BERGEN,1470,FAIRVIEW BORO,97.0,2017-18
03,BERGEN,1550,FORT LEE BORO,95.3,2017-18
03,BERGEN,1580,FRANKLIN LAKES BORO,96.5,2017-18
03,BERGEN,1700,GARFIELD CITY,95.8,2017-18
03,BERGEN,1760,GLEN ROCK BORO,96.6,2017-18
03,BERGEN,1860,HACKENSACK CITY,90.7,2017-18
03,BERGEN,2050,HARRINGTON PARK BORO,97.5,2017-18
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,96.3,2017-18
03,BERGEN,2090,HAWORTH BORO,96.3,2017-18
03,BERGEN,2180,HILLSDALE BORO,97.6,2017-18
03,BERGEN,2200,HO HO KUS BORO,98.4,2017-18
03,BERGEN,2620,LEONIA BORO,92.7,2017-18
03,BERGEN,2710,LITTLE FERRY BORO,98.5,2017-18
03,BERGEN,2740,LODI BOROUGH,95.9,2017-18
03,BERGEN,2860,LYNDHURST TWP,97.2,2017-18
03,BERGEN,2900,MAHWAH TWP,97.1,2017-18
03,BERGEN,3060,MAYWOOD BORO,92.6,2017-18
03,BERGEN,3170,MIDLAND PARK BORO,96.7,2017-18
03,BERGEN,3330,MONTVALE BORO,98.3,2017-18
03,BERGEN,3350,MOONACHIE BORO,97.5,2017-18
03,BERGEN,3550,NEW MILFORD BORO,96.2,2017-18
03,BERGEN,3600,NORTH ARLINGTON BORO,96.8,2017-18
03,BERGEN,3700,NORTHERN HIGHLANDS REG,94.7,2017-18
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,97.4,2017-18
03,BERGEN,3730,NORTHVALE BORO,96.7,2017-18
03,BERGEN,3740,NORWOOD BORO,98.9,2017-18
03,BERGEN,3760,OAKLAND BORO,96.7,2017-18
03,BERGEN,3850,OLD TAPPAN BORO,97.0,2017-18
03,BERGEN,3870,ORADELL BORO,95.6,2017-18
03,BERGEN,3910,PALISADES PARK,96.5,2017-18
03,BERGEN,3930,PARAMUS BORO,91.6,2017-18
03,BERGEN,3940,PARK RIDGE BORO,96.4,2017-18
