CountyCode,CountyName,DistrictCode,DistrictName,Highlight1,Highlight2,Highlight3,Mission,Awards,Courses,Sports,SportsNarrative,Clubs,Programs,Staff,Postsecondary,Supports,Health,Parent,ClimateSurveyUsed,WholsSurveyed,ClimateNarrative,Facilities,SchoolSafety,TechnologySTEM,EarlyChildhood,OtherInformation,Superintendent,Address1,Address2,City,State,ZIP,Phone,Email,Website,Facebook,Twitter,Year
01,ATLANTIC,0010,ABSECON CITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,NA,NA,NA,The Atlantic City District recognizes the urgency to provide resources to improve instruction through exemplary and diverse practices which are monitored and analyzed through student achievement data. The District has the expectation that all student will achieve proficiency in the New Jersey Student Learning Standards at all grade levels.,NA,"The Lesley University Literacy Framework and Reading Recovery Program are used at the elementary level. Fluency and grade level mathematics instruction with pre and post benchmarking are conducted at the elementary level in mathematics. The high school continues to engage in a traditional 8 period schedule with academic, honors, and advanced placement classes. All curriculum documents have been written and/or revised to meet changes in standards. The high school offers a variety of Career and Technical Education Courses(CTE); as well as, dual and articulation credits from Stockton University and Atlantic Cape Community College.","Baseball (Boys), Basketball (Boys & Girls), Cross Country (Boys & Girls), Field Hockey (Boys & Girls), Golf (Coed), Lacrosse (Boys & Girls), Soccer (Boys & Girls), Softball (Girls), Swimming (Boys & Girls), Tennis (Boys & Girls), Track and Field - Spring (Boys & Girls), Track and Field - Winter (Boys & Girls), Wrestling (Boys)",The Atlantic City School District has a traditional high school sports program for boys and girls. Lacrosse is one of the more recent sports while girls’ soccer has been added as a junior varsity sport and will be a varisity sport in the 2019-2020 school year. The district also has a boys’ and a girls’ crew team.,NA,"Atlantic City elementary schools offer morning enrichment and academic, character building and keyboarding classes after school in addition to Saturday STEM classes throughout the school year. The Atlantic City high school offers academic classes after school to at-risk students and students seeking tutoring.","The District supports job-embedded, on-going and sustained professional development at all levels. Professional development offerings can be found on our District Website. The District is currently working to promote the organizing and functioning of Professional Learning Communities (PLC) as a District Reform Movement. Teacher-leaders have studied and turnkey current research and best practices related to successful PLC(s).",NA,NA,NA,"The District's has Title I Parent Resource Centers and/or Parent Resource Center employees working in all of the district's schools. The Parent Resource Center encourage parental involvement in school activities, provide strategies and instruction to assist parents in maximizing their child's school experience and support parents in improving their own skills and education through GED courses, job fairs, ESL services, computer training and citizenship classes.",Yes,"Students, Parents, Administrators, Teachers",The district conducts a school climate survey at each school in the district in June. All stakeholders including community members are encouraged to engage in the survey. The results of the survey are compiled and shared with the school community. The narrative provides key information on how the district’s operation and progress are perceived. Our survey results have revealed positive indications for the District.,NA,NA,NA,NA,The Pennsylvania Avenue School Library has received national recognition. The Pennsylvania Avenue School also has a program for Autistic Students. The Richmond Avenue School houses an auxiliary branch of the Atlantic City Library. The Sovereign Avenue School boasts a middle school Orchestral Academy and program for Auditory Impaired Students. The Atlantic City High School continues with the Capstone Academy School Choice Program for ROTC and the Visual and Performing Arts. The District has an extensive and ever-growing Pre-School Expansion Program that serves over five hundred  3 and 4 year old students.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,NA,NA,NA,"The mission of the Atlantic County Vocational School District is to prepare and motivate students to pursue entry into the world of work, professional programs or further education through a challenging, specialized, standards-aligned curriculum, community-based partnerships, and field-based experiences inspiring students to be lifelong learners, and socially responsible adults serving society with compassion, skill, and vision.","The success of the academic and career and technical programs at the Atlantic County Institute of Technology has been recognized with a National Blue Ribbon School designation, and by US News & World Report ?America?s Best High Schools,? as a Bronze Level School.","The Atlantic County Vocational School District provides the most comprehensive technical education facilities in Atlantic County. The Atlantic County Institute of Technology (ACIT) is the school of choice for a diverse student body of approximately 1600 full time students from all over Atlantic County.  ACIT offers eight Academy Programs and six Career Major Programs in a state-of-the-art facility. The district also operates the Atlantic County Alternative High School (ACAHS) which offers a supportive and nontraditional learning environment for approximately 100 at-risk students utilizing personalized learning plans supported by Chromebooks and abundant online learning resources. In addition to the high school programs, ACIT provides post-secondary education for the adult learner with a full-time Practical Nursing Program and an Adult Evening School with approximately 500 adult students enrolled in both full and part-time career and technical programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Enrollment at ACIT continues to expand; therefore, extensive renovations had to be completed to existing spaces to create additional classrooms and new technical labs for our Engineering, CADD, and Fashion programs.  A large makerspace was created to house CNC machines, laser cutters, and 3D printers to support STEM project-based learning activities.  The Building Trades and Auto Technology shops were also upgraded with new equipment and instructional technology.","The School Resource Officer (SRO), Supervisor of Security, and Administrative Team collaborate on a weekly basis. ACIT has also holds a monthly School Safety Committee meeting which is comprised of teachers, maintenance and custodians, support staff, and administrators. The school mandates that all students wear a school-issued identification card at all time and a student check-in systems monitor student attendance and movement throughout the school.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,"The Brigantine Public School District is a comprehensive, PK-8 public school system serving approximately 500 students on the island community of Brigantine, New Jersey. Just north of Atlantic City, B","We have been recognized with New Jersey Schools’ Best Practice Awards, National School of Character Recognition, Governor’s School of Excellence, and as New Jersey Star Schools. Brigantine Public Scho","As part of our drive to support the development of well-rounded creative learners with an appreciation for the arts, we continue to support district-level instrumental music and art programs. We striv",Our vision is to create world-class public schools that nurture the development of productive citizens prepared to take their places as contributing members of society with the skills and knowledge necessary to perpetuate and support the principles of American democracy. Our mission is to continually evolve into future-ready learning environments providing all students with the foundation of leadership qualities and interpersonal intelligence capabilities to positively influence society.,"We pride ourselves on passion for teaching and learning and building strong connections with the community. With a dedicated teaching staff, supportive Board of Education, and close family connections, we have been recognized with NJ Schools’ Best Practices, National School of Character Recognition, Governor’s School of Excellence, NJ Star School, Tech Trek student participants, NJ Law Fair Mock Trial State Champion, All South Jersey Band and Chorus members, and county athletic championships.","Curriculums are progressive, meet individual needs, and are driven by data. Language arts programs focus on Writers’ Workshop model and Leveled Reading. Math sequencing and instructional supports were restructured with university-level PD providers to meet standards changes. Science and Social Studies continue to implement project-based learning activities, our specials and enrichment programs focus on technology application, meeting multiple learning styles, and hands-on cross-content projects.","Basketball (Boys & Girls), Cross Country (Coed), Soccer (Coed), Volleyball (Coed)","Sports Offered: Basketball (Boys & Girls), Cross-Country (Co-ed), Soccer (Co-ed), Volleyball (Co-ed). Brigantine North Middle School participates in the Cape-Atlantic Junior League in multiple sports. These include boys’ and girls’ basketball teams, a co-ed cross country team, soccer team, and volleyball team as well as various intramural programs offered throughout the school year. Our District also offers crew to students in seventh and eighth grades as a highlight of our progressive athletic options for students to prepare for secondary school athletic opportunities.","Student Council, Computer Club, Guitar and Ukulele Club, Morning GYM Program, Yearbook, Art Club, Intramurals, National Junior Honor Society, Think Day, Environmental Fair, Forest Friends, Jump-Rope-a-thon, Kindergarten Snow Show, Pennies for Patients, PTA Book Fair, Read Across America Book Swap, Red Ribbon Week, St. Baldrick’s Day, Arts Night, Strengthening Families Nights, Canned Food Drives, Walk to School Day, PTA Family Fitness Nights, Holiday Shoppe, Craft Fair, and more.",The Before & After Care Program provides activities for all registered students and is open to preschool through grade four. Students are engaged in indoor and outdoor activities before and after school hours under the supervision of district staff.,"The district 2014-2019 Strategic Plan focuses its goals on improving instructional practices. Our professional development goals provide for excellence in teaching and leadership strategies, supporting student learning and skill development, and best practice classroom applications. Professional development efforts focused on staff feedback within individual professional development plans, input from the District Evaluation Advisory Committee, and on curricular initiatives within the district professional development plan.",NA,"As the district mission indicates, we strive to nurture the development of productive citizens prepared to take their places as contributing members of society.  This includes supports for all students through school counseling and special education services, enrichment offerings, guidance services, English Language Learner supports, as well as our school wide Title I program providing targeted interventions for all learners.","Health, physical education, and co -curricular activities support critical 21st century skills of teamwork, collaboration, and dedication.  Students and staff have engaged in wellness actions as part of social and emotional learning supports including mindfulness and yoga opportunities offered through grants and PTA support.  Individual wellness, outside agency support, sports medicine, and the benefits of physical wellness for long-term health care cost reduction are foundational elements.","The Brigantine school community is supported through parent and local organizations that connect with students. Our PTA and local groups including the Green Team, Garden Club, Lions Club, Elks Lodge, Brigantine Police, Fire, and Public Works Departments, Lifeguard Association, VFW, and more support student learning experiences and connect with teachers to provide whole scale community support of our schools. The district is committed to community outreach via social media platforms and website access.",Yes,"Students, Parents, Administrators, Teachers","The Brigantine School District strives to create, support, and enhance a positive climate and culture within our school community.  Each year a school climate survey is administered to students, parents, and all school staff.  The School Safety Teams review the data received from these surveys from the online responses. These surveys function as key data in making decisions about support programs, activities, climate initiatives, and other actions to continually enhance positive culture within our district.","The Brigantine School District facilities offer green initiatives with two upwind pole mounted wind turbines and 1,170 photovoltaic 240 watt solar panels to reduce our carbon footprint and save costs. In the last two years, ROD Grant project work included facilities’ upgrades in restrooms, drainage, building controls systems, HVAC systems, and security.  Our Strategic Plan focused on extending the life-span of our campus in a fiscally responsible manner while continuing to provide excellent educational facilities.","The Brigantine School District is staffed with a full time School Resource Attendance Officer committed to keeping our staff and students well trained in safety and security measures.  In addition, the School Resource Attendance Officer acts as the liaison to the local police department and community at large.",The district is progressive in the technological needs of staff and students.  Chromebooks are provided for every student and classrooms all have access to smart boards and document cameras.,"The Brigantine School District offers full day preschool to our three and four-year-old children who are residents of the community.  In addition, before and after school care is provided.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,NA,NA,NA,"Our Mission Statement notes that the Buena Regional School District commits to an excellent educational program that prepares all students with a framework for lifelong learning and provides the competencies necessary for responsible and productive citizenship, understanding and appreciation of cultural diversity and contribution to social consciousness in a world of ever accelerating change, global interdependence and technological influence.",NA,"We are committed to provide students with a quality and multidimensional educational experience. Our main focus is academics. However, we work to provide educational experiences to engage all of our students. We offer varied athletic, visual and performing arts, career readiness, character education and extracurricular opportunities to offer student success. Students are able to interact with each other, faculty and support staff to promote their learning.","Baseball (Boys), Basketball (Boys & Girls), Cross Country (Coed), Field Hockey (Girls), Football (Boys), Golf (Coed), Soccer (Boys & Girls), Softball (Girls), Swimming (Coed), Tennis (Boys & Girls), Track and Field - Spring (Coed), Track and Field - Winter (Coed), Wrestling (Boys)","The comprehensive athletic program provides a variety of sports in both our middle school program and high school program.  Swimming has had 5 winning seasons.  Wresting was the 2015 C.A.L. Champs.  We have reached playoff status in many sports including boys and girls basketball - 2016, tennis - 2016, baseball- 2016 and State champs in 2015.  Our cheerleaders also have an impressive record of accomplishments.","Extracurricular activities at BRSD are offered at various grade/school levels. Among the activities offered are Academic Team, band, choir, drama club, peer leadership, art club, mock trial just to name a few. Students volunteer and serve our community through Student Council, Honor Society, Rotary Interact Club, Big Brothers/Big Sisters, Natural Helpers, etc.","Our after school B.O.O.S.T (Buena Out of School Time) program serves students in grades 3-8.  The project is funded through grant money.  It provides a learning center for youth that allows them to make responsible choices, be creative and express themselves in a positive, actively engaged atmosphere. Our emphasis on careers allows students to connect academics with career choices.",Through our PLC (Profession Learning Community) and our PDP (Professional Development Plan) we provide continuing professional learning opportunities to enhance our instructors methodology and instructional delivery. These collaborative opportunities provide continuous efforts to provide and promote quality instruction programs that meet the needs of our students.,"Many of our students continue after graduation to complete college and university degrees. We provide opportunities for student to take SAT's, PSAT's on our campus. Our high school program also provides dual credit courses at a discounted fee in order that our students have a ""head start"" on their college credits at high school graduation. Buena also offers Early College High School through the George Washington Carver Foundation.","The district  ESL program assists ELL students in acquiring language skills to assist their learning experience. Programs are implemented to assess and accommodate the learning styles and needs of students.  We have intervention and referral services, teen support counseling, least restrictive environment special education programs, basic skills and a gifted and talented infused curriculum.",Programs to support the health and well-being of our students permeate our programs. We offer a nutritional breakfast and lunch program.  Our physical education program as well as our organized play recess programs encourage students to exercise and be active. Health and science programs discuss and promote quality nutrition as a part of a healthy lifestyle.,"Parent and community are interested and involved in working to provide quality education activities and opportunities for our students. They readily support providing new playground equipment, field trips, and instructional equipment. Our PTO's generate and donate fund to support positive educational, emotional, and social opportunities for students.",NA,NA,NA,NA,NA,NA,NA,"Buena Regional School District offers a comprehensive and well rounded program for all students.  From our PK Early Childhood Program to our AP high school coursework we provide varied and valuable educational opportunities that promote student success. We are continuously looking to advance and enhance our educational programs as well as our extra curricular opportunities.  The District operates three elementary schools serving grades PK-2, and grades 3-5.  Our middle school houses grades 6 thru 8. Our high school houses grades 9-12.  District enrollment for the 2016-2017 school year was approximately 1812 students.  The district administration, faculty, and staff work collaboratively to meet the needs of our diverse population. BRSD has a broad range of courses and programs to enable our students to be college or career ready on graduation.  The college preparatory program offers honors and advanced placement courses. In addition, courses that focus on the arts, trades, life skills and participation in service organizations and athletics offer a total student centered educational experience. Parent and community is supportive of the school and students. Their volunteer efforts and funds provide us educational opportunities we might not be able to offer without their hard work and assistance. We appreciate their efforts on behalf of all of our students.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,NA,NA,NA,"To provide each pupil the educational opportunity and support that will enable him or her to develop the skills necessary to function politically, economically and socially as a responsible and contributing citizen in a democratic society.",Pre-school aid was received in order to fund the full-day preschool program at the Spragg School in addition to a Federal Preschool Expansion grant. The Community School offers educational and recreational services daily for students in grades 4 through 8. The District also receives a 21st Century Community Learning Centers grant and an additional 21st Century Community Learning Centers grant funds for Special Education programming and supplies. EHCSD has been recognized for its dedication and commitment to the recycling programs of Keep America Beautiful.,"The Egg Harbor City Public School District is cognizant of the fact that it must continue to make improvements designed to meet the demands of 21st century students. In Egg Harbor City, professionals get to know the child behind the test scores, the young students' individual strengths and learning styles. This knowledge helps our staff provide instructional programs that are supported by a wealth of specialized services to meet the needs of all learners.",NA,NA,Please visit the schools' individual pages to locate information on clubs and activities.,The combination of the 21st Century Programs and the YMCA affords our youth a safe and wholesome environment apart from the duration of a school day.,Professional staff participate in district wide professional development specific to the needs of our students. A focus on Language Arts Literacy and Mathematics is evident in our partnership with NJCTL and our progressive Math and Science initiatives.,NA,"A strong administrative team composed of a Chief School Administrator, Business Administrator, Supervisor of Early Childhood/LDTC and a Director of Special Projects, work with climate committees in each building to research, develop and fund programs to meet the diverse needs of district students. The team is committed to fulfilling goals set by the Board of the Danielson Evaluation Model.",Nutritious breakfasts offered daily. Work in close connection with Atlanticare to promote healthy initiatives in our school and our community including Chefs in the Classroom and a sustainable garden.,"Support also comes from the EHC PTO, Egg Harbor City Council, the Municipal Alliance, Atlantic County Family Services, the NJ Division of Child Protection and Permanency, city and county law enforcement agencies. In addition, student programs receive support from AtlantiCare Health System, the Crusaders athletic organization, and faith-based organizations such as the Moravian Church, which operates the local food pantry to which our students contribute and volunteer.",NA,NA,NA,NA,The initial stages of recruitment for two (2) School Resource Officers began in the Spring of 2018. In addition to the SROs a school administrator was identified as a School Safety Specialist.,NA,Grants from the federal government provide a complete full day program for children four (4) years of age.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,NA,NA,NA,"Mission: The mission of the Egg Harbor Township School District is “to embrace families and their students to provide a safe, rigorous, and relevant learning experience while students are engaged and educated to become responsible for their own learning.” Vision: Embrace, Engage, Educate Theme: Every Hand Together; Every Child, Every Day!","The Egg Harbor Township School District is a Sustainable Jersey for Schools ""District,"" as all schools have been certified Bronze with the High School and Swift Elementary School receiving Silver certifification. As a district EHT is also Energy Star Certified, is a Safety Incentive Award recepient from the Joint Insurance Fund, has a Certified Board through NJSBA and no longer contains ""RAC"" Schools.",NA,"Baseball (Boys), Basketball (Boys & Girls), Bowling (Boys & Girls), Cheerleading (Coed), Cross Country (Boys & Girls), Diving (Boys & Girls), Field Hockey (Girls), Football (Boys), Golf (Boys & Girls), Lacrosse (Boys & Girls), Soccer (Boys & Girls), Softball (Girls), Swimming (Boys & Girls), Tennis (Boys & Girls), Track and Field - Spring (Boys & Girls), Track and Field - Winter (Boys & Girls), Wrestling (Boys)","Egg Harbor Township School District offers athletic programs for boys and girls at both the high school and middle school level. The high school offers 29 team and individual sports for boys and girls throughout the fall, winter and spring seasons containing 57 levels of competition including Varsity, Junior Varsity, and Freshman programs. The middle schools each offer 10 team sports for boys and girls that compete throughout the fall, winter, and spring seasons.","Egg Harbor Township School District offers multiple clubs and activities where students can participate in leadership development, service activities, academic competitions, and fine and performing arts. Students participate in activities at the high school, middle school, and elementary school that support the local and state communities, provides services, and donates to various organizations through volunteering, fund raising, and hosting various events.",NA,"The Egg Harbor Township School District's philosophy of staff professional development and learning is job embedded through coaching, PLC's, and affording opportunities through teacher choice and voice. Additionally, EHT offers after school professional development opportunities for teachers and staff, as well as professional development workshops throughout the summer.","The Class of 2018 consisted of 596 students with 88% pursuing further education. 57% pursued four-year colleges; 27% pursued two-year colleges; 4% pursued Career/Technical Schools; 5% Military Enlistment, and 7% School-to-Work. The class was awarded at total of $15 million in grants and scholarships.",NA,NA,"Parents can access real-time information regarding their children's progress and attendance through the Parent Portal of Infinite Campus. There are both Home and School/Parent Clubs as well as Parent Booster Clubs in each of schools within Egg Harbor Township School District. Our parents and community are also afforded the opportunity to participate in a variety of activities that are inclusive of Back to School Nights, Parent Conferences, SAC Presentations, School Renaissance Activities, ParentCamps and Multi-Cultural events.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,"We offer a comprehensive curriculum with Infused Art, Creative Writing and Personal and Social Development.",NA,"For a small K-8 school, we offer an extensive variety of learning opportunities, while engaging our community.","The Estell Manor School District, in partnership with our community, exists to provide our students with an innovative, nurturing and effective education.  The district recognizes meeting the New Jersey Student Learning  Standards as a first step toward meeting these goals.","Sustainable $10,000 grant, JIF Safety Awards","We offer full array of courses outside the Core academics. We offer Creative Writing, Personal and Social Development, Cultural World Language,and STEM in grades 5-8 with Infused Art.","Baseball (Boys), Basketball (Boys & Girls), Cross Country (Boys & Girls), Softball (Girls)",NA,"We offer Student Council, Horticulture, Honor Society, School Safety, Newspaper, Elementary Book Club, and activities through our Home and School Association.",We offer a before and after school care program,Through the ETTC and other resources our staff continually receives ongoing sustained Professional Development.,NA,We have an extensive Guidance and other support programs available.,We have a health and wellness initiative using our Greenhouse vegetables through our cafeteria.,We have a very supportive HSA. Throughout the year they provide our students with wonderful community and school based programs.,No,NA,NA,We recently installed all new HVAC and designed and constructed a Digital 3d shop. We offer BYOD and enhanced devices.,NA,NA,NA,"The Estell Manor School is a member of the Inter District Public School Choice Program. With 33 choice students. We pride  ourselves on school safety,technology, and student voice.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1540,FOLSOM BORO,Folsom School is proud to be a part of the Interdistrict Public School Choice Program since 2000. Approximately 50 percent of the student population participate in the School Choice Program.,"Folsom's STEAM program includes a state of the art TV studio, robotics, graphic design, and digital photography.","Folsom's arts program includes a wealth of offerings for students such as: instrumental music, chorus, theater, and art education.","Our mission is to create a learning environment that honors family values and serves the unique academic, physical, social and emotional needs of all students in a safe and caring environment.  We strive to foster our students' creativity and self-determination to develop a lifelong love of learning.  We encourage students to approach learning as problem-solvers, designers, and creators by providing access to the technologies, tools, and resources needed to achieve their goals.  Folsom staff members are committed to working with parents and community partners to enable students to understand the world around them and the talent within them so they can become fulfilled individuals and active, compassionate citizens.",Folsom School is recognized as a bronze level Sustainable Schools for New Jersey.,"Folsom continues to move towards more digital content for core instruction and to support specific student learning needs. Smart Projectors/Boards, document cameras, and 1:1 student computers with Wi-Fi internet access, provide access to online Math, Science, and Social Studies resources. Students in grades 1 through 8 work in the Google Classroom environment for core content. Students in grades 6-8 grade have a personal Chromebook® for home use.","Basketball (Boys & Girls), Cheerleading (Girls), Cross Country (Coed), Volleyball (Coed)","Folsom School participates in the Cape-Atlantic League for middle school sports. We offer a wide variety of sports for middle school students such as:Boys and Girls Cross Country, Boys and Girls Basketball, Co-Ed Volleyball, Girls Softball, and Co-Ed Cheerleading.","Students have many opportunities to participate in after school activities, including: Drama Club, Art Club, Robotics Club, Falcon Club, Student Council, Band, and Chorus.","Low cost child care is available through School Age Child Care (SACC) program. The mission of the Folsom School Age Child Care program is to provide a safe, affordable, nurturing environment for all the school district?s children who need before-school and/or after-school care. The children will have opportunities to choose activities designed to promote their physical, social, and emotional development in an atmosphere of mutual respect.",NA,NA,"Student support is provided through the Child Study Team; made up of a learning disability teacher consultant, school social worker, school psychologist, speech language specialist, a part-time occupational and physical therapist.","The health curriculum is taught to students in K-8 by classroom teachers and the physical education teacher. In addition, the school counselor teaches a middle school course titled, Social and Emotional Learning.","Folsom School has a very active Home and School Association, which provides support for student programs, field trips, and family activities. The Folsom Education Foundation also provides support for student programs. Their membership is made up of approximately 95% current and retired Folsom teachers, however, any parent or community member is welcome to join!",Yes,"Students, Parents, Administrators, Teachers","Each year, student, parent, and staff climate surveys provide essential information to our school leadership in the areas of school safety, instruction, and communication. The results of the School Climate Surveys are used to provide data that can inform decisions and changes in operations and programs, mainly though the Folsom Leadership Team (FLT), Positive Behaviors & Supports in Schools Team (PBSIS), and the School Safety Team.","Folsom School is air conditioned throughout. Every classroom is used for instructional purposes, with STEAM classrooms designed to provide student access to the resources to develop 21st century skills in design, problem-solving, and technology enhanced learning. The All Purpose Room provides space for physical education and sports activities, school performances and events. The APR also serves as the school cafeteria during lunch times, and can be partitioned for this and other dual purposes.",School Safety is a top priority at Folsom. The school has an extensive camera system in and outside the classrooms and school building. Folsom is continuously updating the school network to support and protect against cyber-crimes.,"The STEM program offerings at Folsom are extensive. For instance, Folsom offers a Technology, Engineering, and Design class for middle school students. The other offerings include: digital photography, graphic design, Falcon Television, and an after-school Lego Robotics program.",Folsom offers a full-day pre-school program for Folsom residents. Folsom uses the New Jersey approved Creative Curriculum along with Teaching Strategies Gold to report out student progress in the identified areas of early childhood development.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
