CountyCode,CountyName,DistrictCode,DistrictName,Teachers/Admins,Female,Male,White,Hispanic,Black or African American,Asian,American Indian or Alaska Native,Native Hawaiian or Pacific Islander,Two or More Races,Year
01,ATLANTIC,0010,ABSECON CITY,Admins,60.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0010,ABSECON CITY,Teachers,83.8,16.2,95.6,2.9,0.0,0.0,0.0,0.0,1.5,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,Admins,64.5,35.5,25.8,3.2,64.5,3.2,0.0,0.0,3.2,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,Teachers,70.6,29.4,60.1,10.1,26.8,1.7,0.0,0.0,1.2,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,Admins,44.4,55.6,88.9,0.0,11.1,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,Teachers,62.7,37.3,96.3,2.2,0.7,0.7,0.0,0.0,0.0,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,Admins,57.1,42.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,Teachers,79.3,20.7,98.3,0.0,0.0,1.7,0.0,0.0,0.0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,Teachers,80.9,19.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,Admins,36.4,63.6,81.8,9.1,9.1,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,Teachers,73.8,26.2,91.9,4.7,2.7,0.0,0.0,0.7,0.0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,Teachers,77.1,22.9,95.8,2.1,0.0,2.1,0.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,Admins,59.0,41.0,84.6,2.6,12.8,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,Teachers,75.6,24.4,95.0,2.3,1.5,0.0,1.2,0.0,0.0,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,Admins,33.3,66.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
